timestamp,open,high,low,close
2026-01-01T00:00:00+00:00,100,100.5,99.5,100
2026-01-01T00:15:00+00:00,100,101.5,99.5,101
2026-01-01T00:30:00+00:00,101,102.5,100.5,102
2026-01-01T00:45:00+00:00,102,106.5,101.5,106
2026-01-01T01:00:00+00:00,106,108.5,105.5,108
2026-01-01T01:15:00+00:00,108,108.5,106.5,107
2026-01-01T01:30:00+00:00,107,107.5,102.5,103
2026-01-01T01:45:00+00:00,103,103.5,98.5,99
2026-01-01T02:00:00+00:00,99,99.5,95.5,96
2026-01-01T02:15:00+00:00,96,96.5,94.5,95
2026-01-01T02:30:00+00:00,95,99.5,94.5,99
2026-01-01T02:45:00+00:00,99,103.5,98.5,103
2026-01-01T03:00:00+00:00,103,103.5,99.5,100
2026-01-01T03:15:00+00:00,100,101.5,99.5,101
2026-01-01T03:30:00+00:00,101,102.5,100.5,102
2026-01-01T03:45:00+00:00,102,106.5,101.5,106
2026-01-01T04:00:00+00:00,106,108.5,105.5,108
2026-01-01T04:15:00+00:00,108,108.5,106.5,107
2026-01-01T04:30:00+00:00,107,107.5,102.5,103
2026-01-01T04:45:00+00:00,103,103.5,98.5,99
2026-01-01T05:00:00+00:00,99,99.5,95.5,96
2026-01-01T05:15:00+00:00,96,96.5,94.5,95
2026-01-01T05:30:00+00:00,95,99.5,94.5,99
2026-01-01T05:45:00+00:00,99,103.5,98.5,103
